Date,Session,Trial_S,Trial,Group,Individual,Behaviour,Response,Latency,Comments
16/04/2024,1,1,1,Compatible,Debbie,Splash,1,1.53225,Description board says incompatible but it looks like it should be compatible 
16/04/2024,1,2,2,Compatible,Debbie,Spin,0,2.12275,
16/04/2024,1,3,3,Compatible,Debbie,Splash,1,1.5285,
16/04/2024,1,4,4,Compatible,Debbie,Spin,0,,No action performed
16/04/2024,1,5,5,Compatible,Debbie,Splash,1,0.951625,
16/04/2024,1,6,6,Compatible,Debbie,Spin,0,,No action performed
16/04/2024,1,7,7,Compatible,Debbie,Spin,0,,No action performed
16/04/2024,1,8,8,Compatible,Debbie,Splash,1,0.927875,
16/04/2024,1,9,9,Compatible,Debbie,Spin,0,0.66625,
16/04/2024,1,10,10,Compatible,Debbie,Splash,1,0.862375,
16/04/2024,2,11,11,Compatible,Debbie,Spin,0,0.39175,
16/04/2024,2,12,12,Compatible,Debbie,Splash,1,0.54025,
16/04/2024,2,13,13,Compatible,Debbie,Splash,1,0.524125,
16/04/2024,2,14,14,Compatible,Debbie,Spin,0,0.657875,
16/04/2024,2,15,15,Compatible,Debbie,Splash,1,0.374625,Action begun before signal
16/04/2024,2,16,16,Compatible,Debbie,Spin,0,0.723249999999999,
16/04/2024,2,17,17,Compatible,Debbie,Splash,1,0.22225,Action begun before signal
16/04/2024,2,18,18,Compatible,Debbie,Splash,1,0.866125,
16/04/2024,2,19,19,Compatible,Debbie,Spin,0,0.503375,
16/04/2024,2,20,20,Compatible,Debbie,Spin,0,0.912625,
17/04/2024,3,1,21,Compatible,Debbie,Spin,0,0.713125,
17/04/2024,3,2,22,Compatible,Debbie,Spin,0,0.76,
17/04/2024,3,3,23,Compatible,Debbie,Splash,1,1.45475,
17/04/2024,3,4,24,Compatible,Debbie,Splash,1,0.685625,
17/04/2024,3,5,25,Compatible,Debbie,Spin,0,0.556375,Action begun before signal
17/04/2024,3,6,26,Compatible,Debbie,Spin,0,0.65275,Action begun before signal
17/04/2024,3,7,27,Compatible,Debbie,Splash,1,0.615125,Action begun before signal
17/04/2024,3,8,28,Compatible,Debbie,Spin,0,0.806375,
17/04/2024,3,9,29,Compatible,Debbie,Splash,1,0.8115,
17/04/2024,3,10,30,Compatible,Debbie,Splash,1,0.611875,Action begun before signal
17/04/2024,4,11,31,Compatible,Debbie,Spin,0,0.48475,Action begun before signal
17/04/2024,4,12,32,Compatible,Debbie,Splash,1,0.60125,
17/04/2024,4,13,33,Compatible,Debbie,Splash,1,0.6785,
17/04/2024,4,14,34,Compatible,Debbie,Spin,0,0.61575,
17/04/2024,4,15,35,Compatible,Debbie,Splash,1,0.496875,Action begun before signal
17/04/2024,4,16,36,Compatible,Debbie,Spin,0,0.85975,
17/04/2024,4,17,37,Compatible,Debbie,Splash,1,1.0145,
17/04/2024,4,18,38,Compatible,Debbie,Spin,0,0.7125,
17/04/2024,4,19,39,Compatible,Debbie,Splash,1,0.46,
17/04/2024,4,20,40,Compatible,Debbie,Spin,0,1.293375,
17/04/2024,5,1,41,Compatible,Debbie,Spin,0,1.065625,
17/04/2024,5,2,42,Compatible,Debbie,Splash,1,1.143,
17/04/2024,5,3,43,Compatible,Debbie,Spin,0,0.76725,
17/04/2024,5,4,44,Compatible,Debbie,Splash,1,0.816625,
17/04/2024,5,5,45,Compatible,Debbie,Spin,0,0.746625,
17/04/2024,5,6,46,Compatible,Debbie,Splash,1,1.216625,
17/04/2024,5,7,47,Compatible,Debbie,Spin,0,0.603875,
17/04/2024,5,8,48,Compatible,Debbie,Splash,1,1.3125,
17/04/2024,5,9,49,Compatible,Debbie,Spin,0,1.37375,
17/04/2024,5,10,50,Compatible,Debbie,Splash,1,1.236375,
17/04/2024,6,11,51,Compatible,Debbie,Splash,1,2.12,
17/04/2024,6,12,52,Compatible,Debbie,Spin,0,1.43875,
17/04/2024,6,13,53,Compatible,Debbie,Splash,1,2.744125,
17/04/2024,6,14,54,Compatible,Debbie,Spin,0,0.926,
17/04/2024,6,15,55,Compatible,Debbie,Spin,0,0.78175,
17/04/2024,6,16,56,Compatible,Debbie,Splash,1,1.60675,
17/04/2024,6,17,57,Compatible,Debbie,Spin,0,1.267,
17/04/2024,6,18,58,Compatible,Debbie,Splash,1,0.606375,Action begun before signal
17/04/2024,6,19,59,Compatible,Debbie,Spin,0,1.736,
17/04/2024,6,20,60,Compatible,Debbie,Splash,1,0.65425,
18/04/2024,7,1,61,Compatible,Debbie,Spin,0,1.424625,
18/04/2024,7,2,62,Compatible,Debbie,Splash,1,1.278125,
18/04/2024,7,3,63,Compatible,Debbie,Spin,0,2.287125,
18/04/2024,7,4,64,Compatible,Debbie,Splash,1,1.418625,
18/04/2024,7,5,65,Compatible,Debbie,Splash,1,-5.583,
18/04/2024,7,6,66,Compatible,Debbie,Spin,0,1.49875,
18/04/2024,7,7,67,Compatible,Debbie,Spin,0,1.232625,
18/04/2024,7,8,68,Compatible,Debbie,Splash,1,1.528125,
18/04/2024,7,9,69,Compatible,Debbie,Spin,0,1.808875,
18/04/2024,7,10,70,Compatible,Debbie,Splash,1,1.928625,
18/04/2024,8,1,71,Compatible,Debbie,Splash,1,0,Not slow motion at this point
18/04/2024,8,2,72,Compatible,Debbie,Spin,0,2.056875,
18/04/2024,8,3,73,Compatible,Debbie,Splash,1,1.48375,
18/04/2024,8,4,74,Compatible,Debbie,Spin,0,3.728625,
18/04/2024,8,5,75,Compatible,Debbie,Splash,1,1.269375,
18/04/2024,8,6,76,Compatible,Debbie,Spin,0,1.733125,
18/04/2024,8,7,77,Compatible,Debbie,Splash,1,1.09625,
18/04/2024,8,8,78,Compatible,Debbie,Spin,0,1.716125,
18/04/2024,8,9,79,Compatible,Debbie,Splash,1,0.942625,
18/04/2024,8,10,80,Compatible,Debbie,Spin,0,1.4615,
18/04/2024,9,11,81,Compatible,Debbie,Spin,0,1.1065,
18/04/2024,9,12,82,Compatible,Debbie,Splash,1,1.35625,
18/04/2024,9,13,83,Compatible,Debbie,Spin,0,5.095875,
18/04/2024,9,14,84,Compatible,Debbie,Splash,1,0.43375,Action begun before signal
18/04/2024,9,15,85,Compatible,Debbie,Splash,1,0.86475,
18/04/2024,9,16,86,Compatible,Debbie,Spin,0,1.155125,
18/04/2024,9,17,87,Compatible,Debbie,Splash,1,0.70225,
18/04/2024,9,18,88,Compatible,Debbie,Spin,0,1.13425,
18/04/2024,9,19,89,Compatible,Debbie,Splash,1,0.320625,Action begun before signal
18/04/2024,9,20,90,Compatible,Debbie,Spin,0,1.181875,
19/04/2024,10,1,91,Compatible,Debbie,Splash,1,1.684375,
19/04/2024,10,2,92,Compatible,Debbie,Spin,0,1.104375,
19/04/2024,10,3,93,Compatible,Debbie,Spin,0,1.38675,
19/04/2024,10,4,94,Compatible,Debbie,Splash,1,1.013625,
19/04/2024,10,5,95,Compatible,Debbie,Spin,0,0.63325,
19/04/2024,10,6,96,Compatible,Debbie,Splash,1,0.67325,
19/04/2024,10,8,97,Compatible,Debbie,Spin,0,1.973375,
19/04/2024,10,9,98,Compatible,Debbie,Spin,0,1.088,
19/04/2024,10,10,99,Compatible,Debbie,Splash,1,1.10225,
19/04/2024,10,11,100,Compatible,Debbie,Splash,1,0.79,
