Session,Trial,Trial_total,Group,Individual,Demonstrator,Behaviour,Response,Latency,Comments
1,1,1,Compatible,Debbie,Dobbie,Splash,1,0.766,The description board says incompateble however it seems it should have been compatible
1,2,2,Compatible,Debbie,Dobbie,Spin,1,1.9515,
1,3,3,Compatible,Debbie,Dobbie,Spin,1,1.706875,
1,4,4,Compatible,Debbie,Dobbie,Splash,1,0.74975,
1,5,5,Compatible,Debbie,Dobbie,Spin,1,1.40775,
1,6,6,Compatible,Debbie,Dobbie,Splash,1,0.464375,Action begun before signal
1,7,7,Compatible,Debbie,Dobbie,Spin,1,1.61025,
1,8,8,Compatible,Debbie,Dobbie,Splash,1,0.4985,Action begun before signal
1,9,9,Compatible,Debbie,Dobbie,Spin,1,1.862,
1,10,10,Compatible,Debbie,Dobbie,Splash,1,1.274375,
2,1,11,Compatible,Debbie,Dobbie,Splash,1,1.082,Action begun before signal
2,2,12,Compatible,Debbie,Dobbie,Spin,1,1.900375,
2,3,13,Compatible,Debbie,Dobbie,Spin,1,2.050375,
2,4,14,Compatible,Debbie,Dobbie,Splash,1,0.449000000000001,
2,5,15,Compatible,Debbie,Dobbie,Splash,1,0.8225,
2,6,16,Compatible,Debbie,Dobbie,Spin,1,2.034375,
2,7,17,Compatible,Debbie,Dobbie,Spin,1,1.401875,
2,8,18,Compatible,Debbie,Dobbie,Splash,1,0.432625,
2,9,19,Compatible,Debbie,Dobbie,Spin,1,1.748,
2,10,20,Compatible,Debbie,Dobbie,Splash,1,0.51825,
3,1,21,Compatible,Debbie,Dobbie,Splash,1,0.697,
3,2,22,Compatible,Debbie,Dobbie,Spin,1,1.800375,
3,3,23,Compatible,Debbie,Dobbie,Spin,1,2.491375,
3,4,24,Compatible,Debbie,Dobbie,Splash,1,0.288875,Action begun before signal
3,5,25,Compatible,Debbie,Dobbie,Splash,1,0.454,Action begun before signal
3,6,26,Compatible,Debbie,Dobbie,Spin,1,2.33725,
3,7,27,Compatible,Debbie,Dobbie,Splash,1,0.621499999999999,
3,8,28,Compatible,Debbie,Dobbie,Spin,1,2.676625,
3,9,29,Compatible,Debbie,Dobbie,Splash,1,1.0135,
3,10,30,Compatible,Debbie,Dobbie,Spin,1,2.441625,
4,1,31,Compatible,Debbie,Dobbie,Spin,1,2.12525,
4,2,32,Compatible,Debbie,Dobbie,Spin,1,2.178375,
4,3,33,Compatible,Debbie,Dobbie,Splash,1,0.87925,
4,4,34,Compatible,Debbie,Dobbie,Splash,1,1.021625,
4,5,35,Compatible,Debbie,Dobbie,Spin,1,2.601625,
4,6,36,Compatible,Debbie,Dobbie,Spin,1,2.205375,
4,7,37,Compatible,Debbie,Dobbie,Splash,1,0.6535,
4,8,38,Compatible,Debbie,Dobbie,Spin,1,2.877875,
4,9,39,Compatible,Debbie,Dobbie,Splash,1,0.29975,Action begun before signal
4,10,40,Compatible,Debbie,Dobbie,Splash,1,0.24125,Action begun before signal
1,1,1,Compatible,Delphi,Ivo,Splash,0,4.130125,
1,2,2,Compatible,Delphi,Ivo,Spin,1,3.159,
1,3,3,Compatible,Delphi,Ivo,Spin,1,2.927,
1,4,4,Compatible,Delphi,Ivo,Splash,1,0.8235,
1,5,5,Compatible,Delphi,Ivo,Spin,1,4.405125,
1,6,6,Compatible,Delphi,Ivo,Splash,1,0.684375,
1,7,7,Compatible,Delphi,Ivo,Spin,1,3.46525,
1,8,8,Compatible,Delphi,Ivo,Splash,1,0.727625,
1,9,9,Compatible,Delphi,Ivo,Spin,1,3.71825,
1,10,10,Compatible,Delphi,Ivo,Splash,1,0.69525,
2,1,11,Compatible,Delphi,Ivo,Splash,1,0.72625,
2,2,12,Compatible,Delphi,Ivo,Spin,1,3.877,
2,3,13,Compatible,Delphi,Ivo,Spin,1,3.559125,
2,4,14,Compatible,Delphi,Ivo,Splash,1,0.830375,
2,5,15,Compatible,Delphi,Ivo,Splash,1,0.588375,
2,6,16,Compatible,Delphi,Ivo,Spin,1,3.279125,
2,7,17,Compatible,Delphi,Ivo,Spin,1,3.896875,
2,8,18,Compatible,Delphi,Ivo,Splash,1,0.683625,
2,9,19,Compatible,Delphi,Ivo,Spin,1,3.475125,
2,10,20,Compatible,Delphi,Ivo,Splash,1,0.511,
3,1,21,Compatible,Delphi,Ivo,Splash,1,0.708125,
3,2,22,Compatible,Delphi,Ivo,Spin,1,3.37075,
3,3,23,Compatible,Delphi,Ivo,Spin ,1,2.837125,
3,4,24,Compatible,Delphi,Ivo,Splash,1,0.648750000000001,
3,5,25,Compatible,Delphi,Ivo,Splash,1,0.67175,
3,6,26,Compatible,Delphi,Ivo,Spin,1,3.338125,
3,7,27,Compatible,Delphi,Ivo,Splash,1,0.45525,
3,8,28,Compatible,Delphi,Ivo,Spin,1,2.69375,
3,9,29,Compatible,Delphi,Ivo,Splash,1,0.12325,Action begun before signal
3,10,30,Compatible,Delphi,Ivo,Spin,1,2.84275,
4,1,31,Compatible,Delphi,Ivo,Spin ,1,3.05675,
4,2,32,Compatible,Delphi,Ivo,Spin,1,3.42425,Not a full spin (17:20) 
4,3,33,Compatible,Delphi,Ivo,Splash,1,0.637750000000001,
4,4,34,Compatible,Delphi,Ivo,Splash,1,0.535625,
4,5,35,Compatible,Delphi,Ivo,Spin,1,3.540375,
4,6,36,Compatible,Delphi,Ivo,Spin,0,0,Acion not completed
4,7,37,Compatible,Delphi,Ivo,Splash,1,0.6335,
4,8,38,Compatible,Delphi,Ivo,Spin,1,7.19525,
4,9,39,Compatible,Delphi,Ivo,Splash,1,0.593,
4,10,40,Compatible,Delphi,Ivo,Splash,1,0.510875,
1,1,1,Compatible,Delphi,Ivo,Tail Wave,1,5.082875,
1,2,2,Compatible,Delphi,Ivo,Belly Up,1,3.213375,
1,3,3,Compatible,Delphi,Ivo,Belly Up,1,2.84775,
1,4,4,Compatible,Delphi,Ivo,Tail Wave,1,4.358875,
1,5,5,Compatible,Delphi,Ivo,Belly Up,1,2.8775,
1,6,6,Compatible,Delphi,Ivo,Tail Wave,1,4.800875,
1,7,7,Compatible,Delphi,Ivo,Belly Up,1,3.04275,
1,8,8,Compatible,Delphi,Ivo,Tail Wave,1,4.02425,
1,9,9,Compatible,Delphi,Ivo,Belly Up,1,3.2925,
1,10,10,Compatible,Delphi,Ivo,Tail Wave,1,4.13175,
2,1,11,Compatible,Delphi,Ivo,Tail Wave,1,3.301875,
2,2,12,Compatible,Delphi,Ivo,Belly Up,1,2.633375,
2,3,13,Compatible,Delphi,Ivo,Belly Up,1,3.727375,
2,4,14,Compatible,Delphi,Ivo,Tail Wave,1,3.083,
2,5,15,Compatible,Delphi,Ivo,Tail Wave,1,3.443125,
2,6,16,Compatible,Delphi,Ivo,Belly Up,1,-4.563125,
2,7,17,Compatible,Delphi,Ivo,Tail Wave,1,3.5185,
2,8,18,Compatible,Delphi,Ivo,Belly Up,1,3.0995,
2,9,19,Compatible,Delphi,Ivo,Tail Wave,1,3.148875,
3,1,20,Compatible,Delphi,Ivo,Tail Wave,1,5.017625,Description board says Incompatible but it looks like compatible
3,2,21,Compatible,Delphi,Ivo,Belly Up,1,3.665,
3,3,22,Compatible,Delphi,Ivo,Belly Up,1,2.8445,
3,4,23,Compatible,Delphi,Ivo,Tail Wave,1,4.655,
3,5,24,Compatible,Delphi,Ivo,Tail Wave,1,4.72475,
3,6,25,Compatible,Delphi,Ivo,Belly Up,1,-4.33425,
3,7,26,Compatible,Delphi,Ivo,Belly Up,1,2.7515,
3,8,27,Compatible,Delphi,Ivo,Tail Wave,0,2.0585,
3,9,28,Compatible,Delphi,Ivo,Belly Up,1,1.519625,Action begun before signal
3,10,29,Compatible,Delphi,Ivo,Tail Wave,1,2.98475,
4,1,30,Compatible,Delphi,Ivo,Belly Up,1,3.46575,
4,2,31,Compatible,Delphi,Ivo,Belly Up,1,1.68125,Action begun before signal
4,3,32,Compatible,Delphi,Ivo,Belly Up,1,3.418875,
4,4,33,Compatible,Delphi,Ivo,Tail Wave,1,4.699,
4,5,34,Compatible,Delphi,Ivo,Tail Wave,1,4.058125,
4,6,35,Compatible,Delphi,Ivo,Belly Up,1,4.2635,
4,7,36,Compatible,Delphi,Ivo,Belly Up,1,2.536375,
4,8,37,Compatible,Delphi,Ivo,Tail Wave,0,2.889875,
4,9,38,Compatible,Delphi,Ivo,Belly Up,1,2.825875,
4,10,39,Compatible,Delphi,Ivo,Tail Wave,1,2.582875,
4,11,40,Compatible,Delphi,Ivo,Tail Wave,1,3.941875,
1,1,1,Incompatible,Dobbie,Ivo,Splash,1,2.095125,
1,2,2,Incompatible,Dobbie,Ivo,Spin,1,0.59525,
1,3,3,Incompatible,Dobbie,Ivo,Spin,1,0.571875,
1,4,4,Incompatible,Dobbie,Ivo,Splash,1,2.396625,
1,5,5,Incompatible,Dobbie,Ivo,Spin,1,0.597625,
1,6,6,Incompatible,Dobbie,Ivo,Splash,1,2.078,
1,7,7,Incompatible,Dobbie,Ivo,Spin,1,0.64475,
1,8,8,Incompatible,Dobbie,Ivo,Splash,1,2.154,
1,9,9,Incompatible,Dobbie,Ivo,Splash,1,0.526875,
1,10,10,Incompatible,Dobbie,Ivo,Splash,1,2.332125,
2,1,11,Incompatible,Dobbie,Ivo,Splash,1,2.21925,
2,2,12,Incompatible,Dobbie,Ivo,Spin,1,0.585125,
2,3,13,Incompatible,Dobbie,Ivo,Spin,1,0.639125,
2,4,14,Incompatible,Dobbie,Ivo,Splash,1,2.123,
2,5,15,Incompatible,Dobbie,Ivo,Splash,1,1.79075, 
2,6,16,Incompatible,Dobbie,Ivo,Spin,1,0.293125,
2,7,17,Incompatible,Dobbie,Ivo,Spin,1,0.651875,
2,8,18,Incompatible,Dobbie,Ivo,Splash,1,1.904,
2,9,19,Incompatible,Dobbie,Ivo,Spin,1,0.8075,
2,10,20,Incompatible,Dobbie,Ivo,Splash,1,2.173125,
3,1,21,Incompatible,Dobbie,Ivo,Splash,1,2.015875,
3,2,22,Incompatible,Dobbie,Ivo,Spin,1,1.18175,
3,3,23,Incompatible,Dobbie,Ivo,Spin,1,0.7055,
3,4,24,Incompatible,Dobbie,Ivo,Splash,1,2.368875,
3,5,25,Incompatible,Dobbie,Ivo,Splash,1,2.016625,
3,6,26,Incompatible,Dobbie,Ivo,Spin,1,0.73975,
3,7,27,Incompatible,Dobbie,Ivo,Splash,1,2.310875,
3,8,28,Incompatible,Dobbie,Ivo,Spin,1,0.78825,
3,9,29,Incompatible,Dobbie,Ivo,Splash,1,2.08525,
3,10,30,Incompatible,Dobbie,Ivo,Spin,1,0.95525,
4,1,31,Incompatible,Dobbie,Ivo,Spin,1,0.554,
