Date;Session;Trial;Group;Individuals;Behaviours;Response;Latency
11.11.23;1;1;Compatible;Debbie;Spin;1;0,6
11.11.23;1;2;Compatible;Debbie;Belly up;1;0,8
11.11.23;1;3;Compatible;Debbie;Splash;1;0,8
11.11.23;1;4;Compatible;Debbie;Tail wave;1;1,2
11.11.23;1;5;Compatible;Debbie;Belly up;1;0,8
11.11.23;1;6;Compatible;Debbie;Spin;1;0,8
11.11.23;1;7;Compatible;Debbie;Splash;0;2,4
11.11.23;1;8;Compatible;Debbie;Tail wave;1;0,8
11.11.23;1;9;Compatible;Debbie;Splash;0;1,2
11.11.23;1;10;Compatible;Debbie;Belly up;1;0,6
12.11.23;2;1;Compatible;Debbie;Tail wave;1;0,8
12.11.23;2;2;Compatible;Debbie;Spin;1;1,2
12.11.23;2;3;Compatible;Debbie;Splash;1;1,4
12.11.23;2;4;Compatible;Debbie;Tail wave;1;0,8
12.11.23;2;5;Compatible;Debbie;Spin;1;1,6
12.11.23;2;6;Compatible;Debbie;Splash;1;0,6
12.11.23;2;7;Compatible;Debbie;Belly up;1;0,6
12.11.23;2;8;Compatible;Debbie;Spin;1;1
12.11.23;2;9;Compatible;Debbie;Tail wave;1;0,6
12.11.23;2;10;Compatible;Debbie;Belly up;1;0,8
11.11.23;1;1;Compatible;Dobbie;Spin;0;1,6
11.11.23;1;2;Compatible;Dobbie;Belly up;1;0,6
11.11.23;1;3;Compatible;Dobbie;Splash;1;1
11.11.23;1;4;Compatible;Dobbie;Tail wave;1;0,9
11.11.23;1;5;Compatible;Dobbie;Belly up;1;0,9
11.11.23;1;6;Compatible;Dobbie;Spin;0;0,8
11.11.23;1;7;Compatible;Dobbie;Splash;1;0,9
11.11.23;1;8;Compatible;Dobbie;Tail wave;1;0,8
11.11.23;1;9;Compatible;Dobbie;Splash;1;0,8
11.11.23;1;10;Compatible;Dobbie;Belly up;0;0,8
12.11.23;2;1;Compatible;Dobbie;Tail wave;1;0,6
12.11.23;2;2;Compatible;Dobbie;Spin;1;0,5
12.11.23;2;3;Compatible;Dobbie;Splash;1;0,9
12.11.23;2;4;Compatible;Dobbie;Tail wave;1;0,6
12.11.23;2;5;Compatible;Dobbie;Spin;1;1
12.11.23;2;6;Compatible;Dobbie;Splash;1;1
12.11.23;2;7;Compatible;Dobbie;Belly up;1;0,5
12.11.23;2;8;Compatible;Dobbie;Spin;1;0,8
12.11.23;2;9;Compatible;Dobbie;Tail wave;0;0,5
12.11.23;2;10;Compatible;Dobbie;Belly up;1;0,9
11.11.23;1;1;Compatible;Daisy;Spin;0;0,9
11.11.23;1;2;Compatible;Daisy;Belly up;1;0,8
11.11.23;1;3;Compatible;Daisy;Splash;1;0,6
11.11.23;1;4;Compatible;Daisy;Tail wave;1;1
11.11.23;1;5;Compatible;Daisy;Belly up;1;1
11.11.23;1;6;Compatible;Daisy;Spin;0;0,8
11.11.23;1;7;Compatible;Daisy;Splash;1;0,6
11.11.23;1;8;Compatible;Daisy;Tail wave;1;0,6
11.11.23;1;9;Compatible;Daisy;Splash;1;0,8
11.11.23;1;10;Compatible;Daisy;Belly up;1;0,6
12.11.23;2;1;Compatible;Daisy;Tail wave;1;0,6
12.11.23;2;2;Compatible;Daisy;Spin;1;0,9
12.11.23;2;3;Compatible;Daisy;Splash;1;0,5
12.11.23;2;4;Compatible;Daisy;Tail wave;1;0,9
12.11.23;2;5;Compatible;Daisy;Spin;1;1
12.11.23;2;6;Compatible;Daisy;Splash;1;0,5
12.11.23;2;7;Compatible;Daisy;Belly up;1;0,7
12.11.23;2;8;Compatible;Daisy;Spin;1;0,7
12.11.23;2;9;Compatible;Daisy;Tail wave;1;0,5
